,feature_0,feature_1,val_best_acc_mean
CIFAR_1/iicgeo/wholeMeter.csv,CIFAR_1,iicgeo,0.326816678
CIFAR_1/iicgeogaussianreg/wholeMeter.csv,CIFAR_1,iicgeogaussianreg,0.297300011
CIFAR_1/imsatvat/wholeMeter.csv,CIFAR_1,imsatvat,0.188383341
CIFAR_1/iicgeovatgaussianreg/wholeMeter.csv,CIFAR_1,iicgeovatgaussianreg,0.254333347
CIFAR_1/iicgeomixup/wholeMeter.csv,CIFAR_1,iicgeomixup,0.279066682
CIFAR_1/iicgeovatcutoutreg/wholeMeter.csv,CIFAR_1,iicgeovatcutoutreg,0.336083323
CIFAR_1/imsatvatiicgeo/wholeMeter.csv,CIFAR_1,imsatvatiicgeo,0.206050009
CIFAR_1/iicgeocutoutreg/wholeMeter.csv,CIFAR_1,iicgeocutoutreg,0.339066684
CIFAR_1/iicgeogaussian/wholeMeter.csv,CIFAR_1,iicgeogaussian,0.194100007
CIFAR_1/iicgeomixupreg/wholeMeter.csv,CIFAR_1,iicgeomixupreg,0.488983333
CIFAR_1/imsatvatmixupcutout/wholeMeter.csv,CIFAR_1,imsatvatmixupcutout,0.243349999
CIFAR_1/iicgeovatreg_kl/wholeMeter.csv,CIFAR_1,iicgeovatreg_kl,0.236533329
CIFAR_1/iicgeocutout/wholeMeter.csv,CIFAR_1,iicgeocutout,0.201000005
SVHN_1/iicgeo/wholeMeter.csv,SVHN_1,iicgeo,0.361480117
SVHN_1/iicgeogaussianreg/wholeMeter.csv,SVHN_1,iicgeogaussianreg,0.352304876
SVHN_1/imsatvat/wholeMeter.csv,SVHN_1,imsatvat,0.183776647
SVHN_1/iicgeovatgaussianreg/wholeMeter.csv,SVHN_1,iicgeovatgaussianreg,0.365921706
SVHN_1/iicgeomixup/wholeMeter.csv,SVHN_1,iicgeomixup,0.206991702
SVHN_1/iicgeovatcutoutreg/wholeMeter.csv,SVHN_1,iicgeovatcutoutreg,0.348034501
SVHN_1/imsatvatiicgeo/wholeMeter.csv,SVHN_1,imsatvatiicgeo,0.365639687
SVHN_1/iicgeocutoutreg/wholeMeter.csv,SVHN_1,iicgeocutoutreg,0.395834357
SVHN_1/iicgeogaussian/wholeMeter.csv,SVHN_1,iicgeogaussian,0.137336463
SVHN_1/iicgeomixupreg/wholeMeter.csv,SVHN_1,iicgeomixupreg,0.307103485
SVHN_1/imsatvatmixupcutout/wholeMeter.csv,SVHN_1,imsatvatmixupcutout,0.198501334
SVHN_1/iicgeovatreg_kl/wholeMeter.csv,SVHN_1,iicgeovatreg_kl,0.312723458
SVHN_1/iicgeocutout/wholeMeter.csv,SVHN_1,iicgeocutout,0.137749389
